Date,ID,n_adults,n_children,weekend_nights,week_nights,meal_plan,car_parking_space,room_type,lead_time,market_segment,repeated_guest,previous_cancellations,previous_bookings_Not Cancelled,avg_room_price,special_requests,status
2017-10-02,INN00001,2,0,1,2,Meal Plan 1,0,Room_Type 1,224,Offline,0,0,0,65,0,Not Cancelled
2018-11-06,INN00002,2,0,2,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,Not Cancelled
2018-02-28,INN00003,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,60,0,Cancelled
2018-05-20,INN00004,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,0,0,0,100,0,Cancelled
2018-04-11,INN00005,2,0,1,1,Not Selected,0,Room_Type 1,48,Online,0,0,0,94.5,0,Cancelled
2018-09-13,INN00006,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,Online,0,0,0,115,1,Cancelled
2017-10-15,INN00007,2,0,1,3,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,107.55,1,Not Cancelled
2018-12-26,INN00008,2,0,1,3,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.61,1,Not Cancelled
2018-07-06,INN00009,3,0,0,4,Meal Plan 1,0,Room_Type 1,121,Offline,0,0,0,96.9,1,Not Cancelled
2018-10-18,INN00010,2,0,0,5,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,133.44,3,Not Cancelled
2018-09-11,INN00011,1,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,85.03,0,Not Cancelled
2018-04-30,INN00012,1,0,2,1,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,140.4,1,Not Cancelled
2018-11-26,INN00013,2,0,2,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,88,0,Cancelled
2018-11-20,INN00014,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90,2,Cancelled
2017-10-20,INN00015,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,94.5,2,Not Cancelled
2018-06-15,INN00016,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,0,0,0,115,1,Cancelled
2017-10-05,INN00017,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,96,0,Not Cancelled
2017-08-10,INN00018,2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96,1,Not Cancelled
2017-10-30,INN00019,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65,0,Cancelled
2017-10-04,INN00020,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72,0,Not Cancelled
2017-10-30,INN00021,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65,0,Cancelled
2018-11-25,INN00022,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67,0,Not Cancelled
2018-03-20,INN00023,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85,0,Not Cancelled
2018-10-13,INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105,0,Not Cancelled
2018-05-22,INN00025,2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,Not Cancelled
2018-04-28,INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,Not Cancelled
2017-09-21,INN00027,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65,0,Not Cancelled
2018-05-19,INN00028,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110,0,Cancelled
2017-11-06,INN00029,1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,Cancelled
2017-09-17,INN00030,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82,0,Not Cancelled
2017-09-19,INN00031,2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,Not Cancelled
2018-11-13,INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,Not Cancelled
2018-12-07,INN00033,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,Not Cancelled
2018-01-09,INN00034,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,Not Cancelled
2018-10-07,INN00035,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,Not Cancelled
2018-04-27,INN00036,2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115,1,Not Cancelled
2018-06-19,INN00037,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81,0,Cancelled
2017-10-17,INN00038,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67,0,Not Cancelled
2018-11-19,INN00039,2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,Cancelled
2018-07-30,INN00040,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,Cancelled
2018-11-01,INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,Not Cancelled
2018-06-21,INN00042,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102,1,Not Cancelled
2018-04-10,INN00043,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,Not Cancelled
2018-06-27,INN00044,2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,Cancelled
2017-11-18,INN00045,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60,1,Not Cancelled
2017-12-29,INN00046,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75,0,Not Cancelled
2017-11-20,INN00047,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73,0,Not Cancelled
2018-04-06,INN00048,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104,0,Not Cancelled
2018-11-01,INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,Not Cancelled
2018-12-29,INN00050,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,Not Cancelled
2018-05-30,INN00051,1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,Not Cancelled
2018-04-22,INN00052,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106,0,Cancelled
2018-05-16,INN00053,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,Not Cancelled
2017-11-11,INN00054,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60,1,Not Cancelled
2018-06-13,INN00055,2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89,2,Not Cancelled
2018-05-19,INN00056,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136,1,Not Cancelled
2018-07-28,INN00057,2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,Not Cancelled
2018-12-26,INN00058,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,Not Cancelled
2018-04-20,INN00059,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,Online,0,0,0,120.6,0,Cancelled
2018-04-06,INN00060,2,0,0,3,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,99.3,1,Not Cancelled
2018-09-02,INN00061,2,2,0,1,Meal Plan 1,1,Room_Type 6,2,Online,0,0,0,258,1,Not Cancelled
2018-05-03,INN00062,1,0,0,3,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,120.12,2,Not Cancelled
2018-06-24,INN00063,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95,0,Not Cancelled
2017-09-10,INN00064,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0,0,0,1,Not Cancelled
2018-12-18,INN00065,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75,0,Not Cancelled
2018-10-05,INN00066,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,Not Cancelled
2018-06-03,INN00067,2,0,0,2,Meal Plan 1,0,Room_Type 4,179,Online,0,0,0,97.7,1,Not Cancelled
2018-04-15,INN00068,2,0,0,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,142,0,Cancelled
2018-04-06,INN00069,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Offline,0,0,0,80,0,Not Cancelled
2018-04-25,INN00070,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,85.5,1,Not Cancelled
2018-08-25,INN00071,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,100,0,Not Cancelled
2018-11-14,INN00072,2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88,2,Not Cancelled
2018-08-29,INN00073,2,0,1,1,Meal Plan 1,1,Room_Type 1,30,Online,0,0,0,122.85,1,Not Cancelled
2018-06-03,INN00074,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100,0,Cancelled
2017-10-25,INN00075,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,Offline,0,0,0,75,0,Not Cancelled
2018-03-09,INN00076,2,0,1,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,116.8,1,Not Cancelled
2018-12-31,INN00077,3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,Not Cancelled
2018-06-27,INN00078,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,111.9,1,Not Cancelled
2018-06-28,INN00079,3,0,2,5,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,121.55,2,Cancelled
2018-03-29,INN00080,2,0,0,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75,1,Not Cancelled
2018-04-01,INN00081,2,2,0,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,159.3,0,Cancelled
2018-10-11,INN00082,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,Cancelled
2018-12-25,INN00083,2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88,2,Not Cancelled
2018-03-14,INN00084,2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,Not Cancelled
2018-03-04,INN00085,2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,0,0,0,98.3,1,Not Cancelled
2018-10-17,INN00086,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150,2,Not Cancelled
2018-09-04,INN00087,2,0,2,3,Not Selected,0,Room_Type 1,196,Online,0,0,0,96.05,1,Not Cancelled
2018-06-15,INN00088,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130,0,Cancelled
2018-12-10,INN00089,2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95,0,Not Cancelled
2018-08-09,INN00090,2,0,0,3,Meal Plan 1,0,Room_Type 5,146,Offline,0,0,0,113.56,0,Not Cancelled
2018-05-05,INN00091,2,0,1,3,Not Selected,0,Room_Type 1,110,Online,0,0,0,101.58,1,Not Cancelled
2018-03-18,INN00092,2,0,1,2,Meal Plan 1,1,Room_Type 1,68,Online,0,0,0,105.3,0,Not Cancelled
2018-04-09,INN00093,2,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,115.8,1,Not Cancelled
2018-05-19,INN00094,2,0,0,1,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,149.4,1,Not Cancelled
2018-08-30,INN00095,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,111.59,0,Cancelled
